PUBLISHER,ENGRAVER
N. Simrock,(London) Röder
Breitkopf und Härtel,(Paris): Röder
Janin,(Paris): Röder
G. Sennewald,(Paris): Röder
F.E.C. Leuckart,(Paris): Röder
M.P. Belaieff,(Paris): Röder
Maurice Senart,?: Ch. Douin
Maurice Senart,?: Ch. Douin
Maurice Senart,?: Ch. Douin
Maurice Senart,?: Dirk Kalis
Maurice Senart,?: Dirk Kalis
Breitkopf und Härtel,?: J. Guillemard
Edition Peters,[[Balthasar Schmid]]
Sieber,[[Balthasar Schmid]]
Escudier,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
Escudier,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
Escudier,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
Escudier,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
#N/A,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
#N/A,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
#N/A,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
#N/A,[[Balthasar Schmid]]<br>LinkName|Johann Gotthilf|Ziegler (1688-1747)
P. Jurgenson,[[Bessel|W. Bessel & Co.]]
P. Jurgenson,[[Bessel|W. Bessel & Co.]]
#N/A,[[Bessel|W. Bessel & Co.]]
#N/A,[[Bessel|W. Bessel & Co.]]
M.P. Belaieff,"[[Breitkopf und Härtel]], Leipzig"
#N/A,"[[Breitkopf und Härtel]], Leipzig"
#N/A,"[[Breitkopf und Härtel]], Leipzig"
Breitkopf und Härtel,[[Breitkopf und Härtel]].
P. Jurgenson,[[J. J. Hummel]]
M.P. Belaieff,"[[Oscar Brandstetter]], Paris."
M.P. Belaieff,"[[Oscar Brandstetter]], Paris."
Firth,"[[Schott|B. Schott]], named on title-page to 12 Variations by Classen"
Firth,"[[Schott|B. Schott]], named on title-page to 12 Variations by Classen"
Firth,"[[Schott|B. Schott]], named on title-page to 12 Variations by Classen"
Firth,"[[Schott|B. Schott]], named on title-page to 12 Variations by Classen"
Firth,"[[Schott|B. Schott]], named on title-page to 12 Variations by Classen"
F.E.C. Leuckart,[[Straight & Skillern|Straight and Skillern]]
Breitkopf und Härtel,[G.W.] Quidor
Escudier,[Henri de Baussen?]
P. Jurgenson,[http://lilypond.org/ Lilypond]
P. Jurgenson,[http://lilypond.org/ Lilypond]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
J.G. Richards Co.,[https://editionsplamondon.com/ Taran Plamondon]
Firth,[https://www.arthurbreur.com/music-engraving/ Arthur Breur]
Firth,[https://www.arthurbreur.com/music-engraving/ Arthur Breur]
Firth,[https://www.arthurbreur.com/music-engraving/ Arthur Breur]
Firth,[https://www.arthurbreur.com/music-engraving/ Arthur Breur]
Firth,[https://www.arthurbreur.com/music-engraving/ Arthur Breur]
Escudier,[Leipzig]: [[Breitkopf und Härtel]] (box on last page right hand corner)
F.E.C. Leuckart,[Louise?] Roussel
F.E.C. Leuckart,[Louise?] Roussel
M.P. Belaieff,[Madame] Labassée
M.P. Belaieff,[Madame] Labassée
Firth,[Mademoiselle] Labassée
#N/A,[Mademoiselle] Labassée
Firth,[Mme Oger]
Firth,[Mme Oger]
F.E.C. Leuckart,[Paris?]: A. Corvoet
Maurice Senart,[Paris?]: L. Parent
Edition Peters,[Paris?]: Léon Grandjean
Edition Peters,[Paris?]: Léon Grandjean
Edition Peters,[Paris?]: Léon Grandjean
Edition Peters,[Paris?]: Léon Grandjean
Edition Peters,[Paris?]: Léon Grandjean
Escudier,[Paris?]: Mlle. Fleury
F.E.C. Leuckart,[Paris?]: Mme. Roussel
Ballard,[Paris] Röder
Ballard,[Paris] Röder
Ballard,[Paris] Röder
Ballard,[Paris] Röder
Ballard,[Paris] Röder
Edition Peters,[Paris]: G. Magnian
Edition Peters,[Paris]: G. Magnian
Edition Peters,[Paris]: G. Magnian
Edition Peters,[Paris]: G. Magnian
Edition Peters,[Paris]: I. Bodet
Edition Peters,[Paris]: I. Bodet
P. Jurgenson,[Paris]: Jannot
Escudier,[Paris]: L. Parent
Escudier,[Paris]: L. Parent
Escudier,[Paris]: L. Parent
Escudier,[Paris]: L. Parent
Escudier,[Paris]: L. Parent
Escudier,[Paris]: L. Parent
F.E.C. Leuckart,[Paris]: L. Parent
Firth,[Paris]: L. Parent
Maurice Senart,[Paris]: L. Parent
Edition Peters,[s.l.]: Ch. Douin
Edition Peters,[s.l.]: Ch. Douin
Maurice Senart,"[s.l.]: Douin, Gr. EN Poinçons, Durand & Cie."
Maurice Senart,"[s.l.]: Douin, Gr. EN Poinçons, Durand & Cie."
Edition Peters,"[s.l.]: L. Dérumaux, Gr."
Edition Peters,"[s.l.]: L. Dérumaux, Gr."
P. Jurgenson,"[s.l.]: L. Dérumaux, Gr."
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
M.P. Belaieff,"1, 3, 8. Quider; 4-6, 10, 11. Swain"
Escudier,"A. Barbizet (fl.1857), lithography"
#N/A,A. Boutleroff
Breitkopf und Härtel,A. F. Winnemore
Firth,A. F. Winnemore
Firth,A. F. Winnemore
#N/A,A. Müller
#N/A,A. Müller
J.G. Richards Co.,A. Michaelis
Ballard,A. Płąchecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Ballard,A. Płachecki
Maurice Senart,A. Płachecki
Bärenreiter,"A. Płachecki, no.149"
Ballard,"A. Płachecki, No.62"
Klukowski,"A. Płachecki, No.75"
Ballard,"A. Płachecki, no.78"
Firth,A. Ruiz
Escudier,"A.M. Armstrong, Philadelphia"
Ballard,Alejandro Kühnmund
M.P. Belaieff,Alex. Mauit
M.P. Belaieff,Alex. Mauit
M.P. Belaieff,Alex. Mauit
M.P. Belaieff,Alex. Mauit
Maurice Senart,Alexander Engler
Maurice Senart,Alexander Engler
Escudier,Amos Doolittle
Escudier,Amos Doolittle
Escudier,Amos Doolittle
Ballard,An. Płachecki
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Bärenreiter,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
Ballard,Anders Högstedt
